Company,TypeName,Ram,Gpu,OpSys,Weight,PPI,SSD_GB,Cpu_Family,Cpu_Clockspeed,target
Dell,Ultrabook,16,Intel UHD Graphics 620,Windows 10,1.21,331.26,1024,Core i7,1.8,2499
HP,Netbook,4,Intel HD Graphics 520,Windows 7,2.4,125.37,128,Core i5,2.3,1599
Acer,Notebook,4,Intel HD Graphics 620,Windows 10,2.4,141.21,0,Core i3,2.4,499
Lenovo,Ultrabook,8,Intel HD Graphics 520,Windows 7,1.7,157.35,256,Core i7,2.6,1499
Dell,Gaming,16,Nvidia GeForce GTX 1060,Windows 10,3.21,141.21,128,Core i5,2.5,2051
Lenovo,Notebook,6,Nvidia GeForce 920MX,Windows 10,2.4,141.21,256,Core i5,2.5,695
Dell,Ultrabook,8,AMD Radeon 530,Windows 10,1.4,165.63,256,Core i7,1.8,931.88
HP,Notebook,8,Nvidia GeForce GTX 930MX,Windows 10,2.04,100.45,0,Core i5,2.5,846.5
Dell,Notebook,8,AMD Radeon 530,Windows 10,2.2,141.21,256,Core i5,1.6,800
MSI,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,2.2,141.21,128,Core i7,2.8,1149
Dell,2 in 1 Convertible,16,Intel HD Graphics 615,Windows 10,1.22,276.05,512,Core i7,1.3,1899
Dell,Ultrabook,4,AMD Radeon 530,Windows 10,1.4,165.63,256,Core i5,1.6,818.35
HP,Notebook,8,Nvidia GeForce GTX 930MX,Windows 10,2.63,127.34,256,Core i5,2.5,1080
HP,Notebook,4,Intel HD Graphics 620,Windows 10,2.1,141.21,128,Core i3,2.4,705.5
MSI,Gaming,8,Nvidia GeForce GTX 960M,Windows 10,2.4,141.21,128,Core i7,2.6,1229
Asus,2 in 1 Convertible,8,Intel HD Graphics 620,Windows 10,1.1,165.63,256,Core i5,2.5,1358
HP,Notebook,8,Intel HD Graphics 620,Windows 10,1.49,165.63,256,Core i5,2.5,960
Toshiba,Notebook,16,Nvidia GeForce 930M,Windows 10,2.4,141.21,512,Core i7,2.5,1403
Lenovo,Gaming,16,Nvidia GeForce GTX 980M,Windows 10,4.6,127.34,256,Core i7,2.7,2749.99
HP,Notebook,6,AMD Radeon 530,Windows 10,2.1,141.21,0,A12-Series,2.7,529
HP,Notebook,8,AMD Radeon R4 Graphics,Windows 10,1.91,100.45,128,A6-Series,2.5,445.9
Asus,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,3,127.34,0,Core i7,2.8,1187
Dell,Notebook,4,Intel HD Graphics 520,Windows 10,2.3,100.45,0,Core i3,2,418.64
Dell,Ultrabook,8,Nvidia GeForce GTX 940MX,Windows 10,1.9,141.21,128,Core i5,1.6,1049
Dell,Notebook,2,Intel HD Graphics,Windows 10,2.2,100.45,0,Celeron Dual Core,1.6,379
Asus,Gaming,8,AMD Radeon RX 580,Windows 10,3.2,127.34,256,Ryzen,3,1299
HP,Notebook,8,Intel HD Graphics 620,Windows 10,1.95,157.35,256,Core i5,2.5,980
Lenovo,Notebook,4,Intel HD Graphics 520,Windows 10,1.85,141.21,0,Core i3,2,414.9
Acer,Notebook,4,Intel HD Graphics 400,Chrome OS,1.68,111.94,0,Celeron Dual Core,1.6,349
Dell,Notebook,8,AMD Radeon R5 520,Windows 10,2.13,141.21,256,Core i7,1.8,767.8
HP,Notebook,8,AMD Radeon R7 M465,Windows 10,1.84,141.21,256,Core i5,2.6,1349
Lenovo,Notebook,8,Intel HD Graphics 620,No OS,2.2,141.21,256,Core i5,2.5,549
Acer,Notebook,6,Intel HD Graphics 620,Windows 10,2.1,141.21,0,Core i3,2.4,479
Dell,Gaming,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62,141.21,256,Core i7,2.8,1479
Asus,Notebook,8,Nvidia GeForce GTX 960M,Windows 10,2,282.42,256,Core i7,2.7,1299
MSI,Gaming,16,Nvidia GeForce GTX 980M,Windows 10,4.5,127.34,128,Core i7,2.7,2349
Dell,Notebook,8,AMD Radeon 530,Windows 10,2.2,141.21,256,Core i7,1.8,870
Lenovo,Workstation,8,Nvidia Quadro M1200,Windows 10,2.67,141.21,512,Core i7,2.8,1925
Dell,Gaming,16,Nvidia GeForce GTX 960M,Windows 10,2.72,282.42,128,Core i7,2.6,1099
HP,Notebook,8,Nvidia GeForce GTX 930MX,Windows 10,2.63,106.11,0,Core i5,2.5,910
Fujitsu,Notebook,8,Intel HD Graphics 620,Windows 10,2.2,100.45,0,Core i5,2.5,739
Lenovo,Notebook,4,Intel HD Graphics 620,Windows 10,1.7,157.35,128,Core i3,2.7,599
Acer,2 in 1 Convertible,4,Intel HD Graphics 500,Windows 10,1.25,189.91,0,Celeron Dual Core,2,349
HP,Ultrabook,8,Intel HD Graphics 520,Windows 10,1.54,157.35,256,Core i7,2.5,1887.21
Dell,Notebook,4,Intel HD Graphics,Windows 10,2.2,100.45,0,Pentium Quad Core,1.6,369
HP,Notebook,8,Intel HD Graphics 620,Windows 10,2.31,111.94,256,Core i5,2.6,1124
Asus,Ultrabook,16,Intel HD Graphics 620,Windows 10,1.1,157.35,512,Core i7,2.7,1900
Lenovo,Notebook,4,Nvidia GeForce 920MX,Windows 10,2.2,141.21,0,Core i7,2.7,799
Lenovo,Notebook,8,AMD Radeon R5 M330,Windows 10,3,106.11,0,Core i5,2.3,659
Lenovo,Notebook,4,Intel HD Graphics 500,Windows 10,1.44,111.94,0,Celeron Dual Core,1.1,292
Dell,Notebook,8,AMD Radeon R7 M445,Windows 10,2.5,100.45,0,Core i5,2.5,784
Lenovo,Notebook,6,Nvidia GeForce 920MX,Windows 10,2.4,141.21,128,Core i3,2.3,569
HP,2 in 1 Convertible,16,Intel UHD Graphics 620,Windows 10,1.29,331.26,1024,Core i7,1.8,2449
Lenovo,2 in 1 Convertible,8,Intel HD Graphics 620,Windows 10,1.42,209.8,256,Core i7,2.7,2590
Dell,Notebook,4,Intel HD Graphics 520,Windows 10,2.18,100.45,0,Core i3,2,558.6
Asus,Notebook,4,Intel HD Graphics 500,Windows 10,2,100.45,0,Pentium Quad Core,1.1,304
Dell,Workstation,8,Nvidia Quadro M620,Windows 10,2.06,141.21,256,Core i7,2.8,1763
